g,go,L,p2,ni,nic,nos,nes,mro,df,di
2,2,0,1,1,1,0,6,2,3,4
2,3,0,0,0,0,4,0,3,1,0
2,4,0,2,1,1,0,4,4,1,2
2,4,0,2,3,3,0,5,2,2,2
2,5,1,0,0,0,3,0,5,0,0
2,6,1,1,3,1,2,2,3,1,0
2,6,1,1,1,1,1,2,6,0,0
2,6,1,1,1,1,2,2,3,1,0
2,8,1,3,1,1,0,3,8,0,1
2,8,1,3,5,3,0,4,4,1,1
2,8,1,3,1,1,0,3,4,0,-1
2,10,1,1,1,1,1,2,10,0,0
2,12,1,2,1,1,1,2,4,0,0
2,12,1,2,7,3,1,3,3,1,0
2,12,1,2,3,3,0,3,6,0,0
2,16,1,4,5,2,0,3,8,0,-1
2,24,1,3,1,1,2,1,4,0,-1
2,24,1,3,9,3,0,3,6,0,0
2,48,1,4,13,2,1,2,8,0,-1
3,2,0,1,1,1,0,8,2,5,6
3,3,0,0,0,0,5,0,3,2,0
3,4,0,2,1,1,0,4,4,1,2
3,4,0,2,1,1,0,4,4,1,2
3,4,0,2,1,1,0,5,4,2,3
3,4,0,2,3,3,0,6,2,3,4
3,4,0,2,3,3,0,6,2,3,3
3,6,0,1,3,1,1,4,3,2,2
3,6,0,1,1,1,0,4,6,1,2
3,6,0,1,1,1,2,2,6,1,0
3,7,0,0,0,0,3,0,7,0,0
3,7,0,0,0,0,3,0,7,0,0
3,8,0,3,1,1,0,3,8,0,1
3,8,0,3,1,1,0,3,8,0,1
3,8,0,3,3,3,0,4,4,1,-1
3,8,0,3,3,3,0,4,4,1,2
3,8,0,3,3,3,0,4,4,1,2
3,8,0,3,5,3,0,4,4,1,2
3,8,0,3,5,3,0,5,2,2,2
3,8,0,3,7,7,0,5,2,2,3
3,9,1,0,0,0,3,0,9,0,0
3,12,1,2,1,1,0,3,6,0,1
3,12,1,2,1,1,0,3,12,0,1
3,12,1,2,1,1,1,2,12,0,0
3,12,1,2,3,1,2,2,3,1,1
3,12,1,2,7,3,0,4,6,1,2
3,14,1,1,1,1,1,2,14,0,0
3,16,1,4,3,3,0,3,4,0,-1
3,16,1,4,3,3,0,3,4,0,1
3,16,1,4,3,3,0,3,8,0,1
3,16,1,4,3,2,0,3,8,0,-1
3,16,1,4,11,7,0,4,4,1,2
3,16,1,4,7,4,0,4,4,1,-1
3,21,1,0,0,0,3,0,7,0,0
3,24,1,3,1,1,2,1,6,0,-1
3,24,1,3,7,3,0,3,12,0,1
3,24,1,3,9,2,1,2,4,0,1
3,24,1,3,9,2,1,3,3,1,1
3,24,1,3,7,3,0,3,6,0,1
3,32,1,5,11,5,0,3,8,0,1
3,32,1,5,7,3,0,3,8,0,-1
3,48,1,4,3,1,2,1,4,0,-1
3,48,1,4,7,2,1,2,12,0,-1
3,48,1,4,19,5,0,3,6,0,1
3,96,1,5,15,2,1,2,8,0,-1
4,2,0,1,1,1,0,10,2,7,8
4,3,0,0,0,0,6,0,3,3,0
4,3,0,0,0,0,6,0,3,3,0
4,4,0,2,1,1,0,5,4,2,3
4,4,0,2,1,1,0,6,4,3,4
4,4,0,2,3,3,0,7,2,4,4
4,4,0,2,3,3,0,7,2,4,4
4,5,0,0,0,0,4,0,5,1,0
4,5,0,0,0,0,4,0,5,1,0
4,5,0,0,0,0,4,0,5,1,0
4,6,0,1,3,1,3,2,3,2,0
4,6,0,1,3,1,0,6,2,3,4
4,6,0,1,1,1,0,4,6,1,2
4,6,0,1,1,1,2,2,6,1,0
4,6,0,1,1,1,2,2,6,1,0
4,6,0,1,1,1,1,4,6,2,2
4,6,0,1,1,1,3,2,3,2,0
4,8,0,3,1,1,0,4,8,1,2
4,8,0,3,5,3,0,5,4,2,2
4,8,0,3,5,3,0,5,4,2,2
4,8,0,3,1,1,0,4,4,1,-1
4,9,0,0,0,0,3,0,9,0,0
4,9,0,0,0,0,4,0,3,1,0
4,9,0,0,0,0,4,0,3,1,0
4,10,0,1,5,1,2,2,5,1,0
4,10,0,1,5,1,2,2,5,1,0
